codSubclase,Descripción,"Estado (1-Inactivo, 2-Activo)"
201200003,"Fabricación de productos de nitrógeno conexos como ácido nítrico y ácido sulfanítrico, amoníaco, cloruro amónico, carbonato, amónico, nitritos y nitratos de potasio",2
201200004,"Fabricación de substratos hechos principalmente de turba (tierra natural, arena, arcilla y minerales)",2
201299000,Fabricación abonos y compuestos de nitrógeno,2
201300001,"Fabricación de plásticos en formas primarias como polímeros, incluidos polímeros de etileno, propileno, estireno, cloruro de vinilo, acetato de vinilo y acrílicos",2
201300002,Fabricación de plásticos en formas primarias como poliamidas,2
201300003,Fabricación de plásticos en formas primarias como resinas fenólicas y epoxídicas y poliuretanos,2
201300004,Fabricación de plásticos en formas primarias como resinas alquídicas y resinas de poliéster y poliésteres,2
201300005,Fabricación de plásticos en formas primarias como siliconas,2
201300006,Fabricación de plásticos en formas primarias como intercambiadores de iones basados en polímeros,2
201300007,Fabricación de caucho sintético,2
201300008,Fabricación de aceite vegetal vulcanizado,2
201300009,"Fabricación de mezclas de caucho sintético y caucho natural y de gomas, similares al caucho",2
201300010,Fabricación de celulosa y sus derivados químicos,2
201399000,Fabricación de plásticos y de caucho sintético en formas primarias,2
202100001,"Fabricación de insecticidas, rodenticidas, fungicidas, herbicidas",2
202100002,"Fabricación de productos anti germinantes, reguladores del crecimiento de las plantas",2
202100003,Fabricación de desinfectantes de uso agropecuario y para otros usos,2
202100004,Fabricación de otros productos químicos de uso agropecuario no contemplado en otra actividad asociada,2
202199000,Fabricación de plaguicidas y de otros productos químicos de uso agropecuario,2
202200001,"Fabricación de pinturas, barnices, esmaltes y lacas",2
202200002,"Fabricación de pigmentos y tintes, opacificadores y colores preparados",2
202200003,Fabricación de esmaltes vitrificables y barnices para vidriar y enlucidos cerámicos y preparados similares,2
202200004,Fabricación de masillas,2
202200005,Fabricación de compuestos para calafatear y preparados similares no refractarios para relleno y enlucido,2
202200006,Fabricación de disolventes y diluyentes compuestos orgánicos,2
202200007,Fabricación de removedores de pintura y barniz preparados,2
202200008,Fabricación de tinta de imprenta,2
202299000,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas",2
202301001,Fabricación de agentes orgánicos tensoactivos,2
202301002,Fabricación de jabón,2
202301003,"Fabricación de papel, guata, fieltro, etc., revestida o recubierta con jabón o detergente",2
202301004,Fabricación de glicerina en bruto,2
202301005,"Fabricación de preparados tensoactivos: detergentes para lavar, en polvo o líquidos preparados para fregar platos, suavizantes textiles",2
202301006,Fabricación de productos para limpiar y pulir como preparados para perfumar y desodorizar ambientes,2
202301007,"Fabricación de productos para limpiar y pulir como ceras artificiales y ceras preparadas, betunes y cremas para el cuero, ceras y cremas para la madera",2
202301008,"Fabricación de productos para limpiar y pulir como abrillantadores para carrocerías, vidrios y metales",2
202301009,"Fabricación de productos para limpiar y pulir como pastas y polvos abrasivos, incluidos papel, guata, etc., impregnados, revestidos o recubiertos con estos productos",2
202301090,"Fabricación de otro tipo de jabones y detergentes, preparados para limpiar y pulir, no contemplado en otra actividad asociada",2
202302001,Fabricación de perfumes,2
202302002,Fabricación de colonia,2
202302003,Fabricación de preparados de belleza y de maquillaje,2
202302004,Fabricación de cremas solares y preparados bronceadores,2
202302005,Fabricación de preparados para manicura y pedicura,2
202302006,"Fabricación de champús, fijadores",2
202302007,Fabricación de preparados para ondular y alisar dentífricos,2
202302008,"Fabricación de preparados para la higiene bucal y dental, incluidos preparados para la fijación de dentaduras postizas",2
202302009,"Fabricación de reparados para el afeitado, incluidos preparados para antes y después del afeitado",2
202302010,Fabricación de desodorantes y sales de baño,2
202302011,Fabricación de depilatorios,2
202302090,"Fabricación de otros perfumes y preparados de tocador, no contemplado en otra actividad asociada",2
202399000,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador",2
202900001,Fabricación de pólvoras propulsoras,2
202900002,"Fabricación de explosivos y productos pirotécnicos, incluidos cápsulas fulminantes, detonadores, bengalas de señales, etc.",2
202900003,"Fabricación de gelatina y derivados de la gelatina, colas y preparados adhesivos, incluidos colas y adhesivos preparados a base de caucho",2
202900004,Fabricación de extractos de productos aromáticos naturales,2
202900005,Fabricación de resinoides,2
202900006,Fabricación de aguas destiladas aromáticas,2
202900007,"Fabricación de mezclas de productos odoríferos para la fabricación de perfumes, o alimentos",2
202900008,"Fabricación de placas fotográficas, películas, papel sensible y otros materiales sensibilizados sin impresionar",2
202900009,Fabricación de preparados químicos de uso fotográfico,2
202900010,"Fabricación de diversos productos químicos como peptonas y sus derivados, otras sustancias proteínicas y sus derivados no contemplado en otra actividad asociada",2
202900011,Fabricación de diversos productos químicos como aceites esenciales,2
202900012,Fabricación de diversos productos químicos como aceites y grasas modificados químicamente,2
202900013,Fabricación de diversos productos químicos como materiales para el acabado de productos textiles y de cuero,2
202900014,"Fabricación de diversos productos químicos como polvos y pastas para soldadura blanda, dura y autógena",2
202900015,Fabricación de diversos productos químicos como sustancias para el decapado de metales,2
202900016,Fabricación de diversos productos químicos como aditivos preparados para cementos,2
202900017,"Fabricación de productos químicos como carbón activado, aditivos para aceites lubricantes, preparados para acelerar la vulcanización del caucho, catalizadores y otros productos químicos de uso industrial",2
202900018,"Fabricación de diversos productos químicos como preparados antidetonantes, preparados anticongelantes",2
202900019,Fabricación de diversos productos químicos como reactivos compuestos para diagnóstico y laboratorio,2
202900020,Fabricación de tintas para escribir y dibujar,2
202900021,Fabricación de fósforos,2
202900090,Fabricación de otros productos químicos no contemplado en otra actividad asociada,2
203000001,Fabricación de estopas de filamento artificial o sintético,2
203000002,"Fabricación de fibras discontinuas artificiales o sintéticas, sin cardar, peinar ni elaborar de otro modo para su hilatura",2
203000003,"Fabricación de hilados de filamento sintético o artificial, incluidos hilados de gran resistencia",2
203000004,Fabricación de monofilamentos o hebras sintéticas o artificiales,2
203099000,Fabricación de fibras artificiales,2
210000001,"Fabricación de sustancias medicinales activas para la fabricación de medicamentos como antibióticos, vitaminas básicas, ácido salicílico y acetilsalicílico, etc.",2
210000002,Elaboración de la sangre,2
210000003,Fabricación de medicamentos como antisueros y otras fracciones de sangre,2
210000004,Fabricación de medicamentos como vacunas,2
210000005,Fabricación de medicamentos diversos como preparados homeopáticos,2
210000006,Fabricación de productos químicos anticonceptivos de uso externo y de medicamentos anticonceptivos hormonales,2
210000007,"Fabricación de preparados para el diagnóstico médico, incluidas pruebas de embarazo",2
210000008,Fabricación de sustancias radiactivas para diagnóstico in vivo,2
210000009,Fabricación de productos de biotecnología,2
210000010,Fabricación de azúcares químicamente puros,2
210000011,Elaboración de productos endocrinos,2
210000012,"Fabricación de gasas, vendas y apósitos médicos impregnados",2
210000013,Preparación de productos botánicos para uso farmacéutico,2
210000014,Elaboración de productos macrobióticas,2
210099000,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos de uso farmacéutico",2
221100001,"Fabricación de cubiertas neumáticas de caucho para vehículos, equipo, maquinaria móvil, aeronaves, juguetes, muebles y otros usos",2
221100002,"Fabricación de cubiertas de caucho sólidas y mullidas para vehículos, equipo, maquinaria móvil, aeronaves, juguetes, muebles y otros usos",2
221100003,Fabricación de cámaras para cubiertas,2
221100004,"Fabricación de bandas de rodadura intercambiables, fajas de protección de la cámara, tiras de remiendo para recauchutar cubiertas, etc.",2
221100005,Renovación y recauchutado de cubiertas,2
221199000,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho,2
221900001,"Fabricación de otros productos de caucho natural o sintético, sin vulcanizar, vulcanizado o endurecido como planchas, láminas, tiras, varillas y perfiles de caucho",2
221900002,"Fabricación de otros productos de caucho natural o sintético, sin vulcanizar, vulcanizado o endurecido como tubos, caños y mangueras",2
221900003,"Fabricación de otros productos de caucho natural o sintético, sin vulcanizar, vulcanizado o endurecido como correas y cintas transportadoras y de transmisión de caucho",2
221900004,"Fabricación de otros productos de caucho natural o sintético, sin vulcanizar, vulcanizado o endurecido como artículos higiénicos de caucho (preservativos, tetinas, bolsas de agua caliente, etc.)",2
221900005,"Fabricación de otros productos de caucho natural o sintético, sin vulcanizar, vulcanizado o endurecido como prendas de vestir de caucho (sólo si las piezas están adheridas y no cosidas)",2
221900006,"Fabricación de otros productos de caucho natural o sintético, sin vulcanizar, vulcanizado o endurecido como hilo y cuerda de caucho",2
221900007,"Fabricación de otros productos de caucho natural o sintético, sin vulcanizar, vulcanizado o endurecido como hilatura y tejidos recubiertos de caucho",2
221900008,"Fabricación de otros productos de caucho natural o sintético, sin vulcanizar, vulcanizado o endurecido como arandelas, conectores y cierres de caucho",2
221900009,"Fabricación de otros productos de caucho natural o sintético, sin vulcanizar, vulcanizado o endurecido como cubiertas de caucho para rodillos",2
221900010,"Fabricación de otros productos de caucho natural o sintético, sin vulcanizar, vulcanizado o endurecido como colchones inflables de caucho",2
221900011,"Fabricación de otros productos de caucho natural o sintético, sin vulcanizar, vulcanizado o endurecido como globos inflables",2
221900012,Fabricación de cepillos de caucho,2
221900013,Fabricación de cañones de pipa de caucho endurecido,2
221900014,"Fabricación de peines, horquillas, rulos y artículos similares de caucho endurecido",2
221900015,Fabricación de materiales de reparación de caucho,2
221900016,"Fabricación de tejidos textiles impregnados, revestidos, recubiertos o laminados con caucho en los que el caucho es el componente principal",2
221900017,Fabricación de colchones de caucho para camas de agua,2
221900018,Fabricación de gorros de baño y delantales de caucho,2
221900019,Fabricación de trajes de buceo de caucho,2
221900020,Fabricación de artículos eróticos de caucho,2
221999000,Fabricación de otros productos de caucho,2
222001001,"Fabricación de productos plásticos semielaborados (sean autoadhesivos o no), como planchas plásticas, hojas, bloques, capas, chapas, tiras, etc.",2
222001002,"Fabricación de productos plásticos terminados: tubos plásticos, caños y mangueras, accesorios de caños y mangueras",2
222001003,"Fabricación de puertas plásticas, ventanas, marcos, contrapuertas, persianas, zócalos; tanques, reservorios; piso plástico, cubridores de pared o techo en rollos o en la forma de azulejos etc.",2
222001004,"Artículos plásticos sanitarios como bañeras plásticas, duchas, lavabo, bacín, tanques de inodoros, etc.",2
222001005,"Fabricación de cubridores de piso resistentes, como vinilo, linóleum, etc.",2
222001006,Fabricación de piedra artificial,2
222001090,"Fabricación de otros productos de plásticos para la construcción, no contemplado en otra actividad asociada",2
222002001,Fabricación de bolsas,2
222002002,Fabricación de sacos,2
222002003,Fabricación de cajones cajas,2
222002004,Fabricación de garrafones,2
222002005,Fabricación de botellas,2
222002006,Otros productos de plástico para envase industrial,2
222009001,"Fabricación de servicios de mesa, utensilios de cocina y artículos de tocador de plástico, rollos u hojas de celofán",2
222009002,Fabricación de piedra artificial como: mármol artificial,2
222009003,Fabricación de señales no eléctricas de plástico,2
222009004,"Fabricación de tocados, accesorios para aislamiento, piezas de lámparas y accesorios para alumbrado",2
222009005,Fabricación de material escolar y de oficina,2
222009006,Fabricación de prendas de vestir (sólo si las piezas están adheridas y no cosidas),2
222009007,Fabricación de accesorios para muebles,2
222009008,Fabricación de estatuillas,2
222009009,Fabricación de correas de transporte y de transmisión,2
222009010,Fabricación de papel de empapelar,2
222099000,Fabricación de productos de plástico,2
231000001,"Fabricación de vidrio plano, incluidos vidrios con armado de alambre y vidrio coloreado o teñido",2
231000002,Fabricación de vidrio plano templado o laminado,2
231000003,Fabricación de vidrio en varillas o tubos,2
231000004,Fabricación de bloques de vidrio para pavimentar,2
231000005,Fabricación de espejos de vidrio,2
231000006,Fabricación de unidades aislantes de vidrio de capas múltiples,2
231000007,Fabricación de botellas y otros recipientes de vidrio o cristal,2
231000008,Fabricación de vasos y otros artículos domésticos de vidrio o cristal,2
231000009,"Fabricación de fibras de vidrio, incluida lana de vidrio y productos no tejidos de lana de vidrio",2
231000010,"Fabricación de cristalería de laboratorio, higiénica y farmacéutica",2
231000011,"Fabricación de vidrio para relojes, vidrio óptico y elementos ópticos no trabajados óptimamente",2
231000012,Fabricación de piezas de vidrio utilizadas en bisutería,2
231000013,Fabricación de aisladores de vidrio y accesorios aislantes de vidrio,2
231000014,Fabricación de figurillas de vidrio,2
231000015,Elaboración de artesanía a base de vidrio,2
231000090,"Fabricación de otros productos de vidrio, no contemplado en otra actividad asociada",2
231099000,Fabricación de vidrio y de productos de vidrio,2
239100001,"Fabricación de morteros, cementos y otros materiales refractarios",2
239100002,Fabricación de productos de cerámica refractaria como productos de cerámica de aislamiento térmico de diatomitas silíceas,2
239100003,"Fabricación de productos de cerámica refractaria como ladrillos, bloques y losetas, etc.",2
239100004,"Fabricación de productos de cerámica refractaria como retortas, crisoles, muflas, toberas, tubos, caños, etc.",2
239100005,"Fabricación de artículos refractarios que contienen magnesita, dolomita o cromita",2
239199000,Fabricación de productos refractarios,2
239200001,"Fabricación de losetas para la pared y para cañones de chimeneas, teselas de mosaico y otros de cerámica no refractaria",2
239200002,Fabricación de baldosas y losas para pavimento de cerámica no refractaria,2
239200003,"Fabricación de materiales de construcción de arcilla no refractaria para uso estructural (fabricación de ladrillos, tejas, sombreretes de chimenea, tubos, conductos, etc.)",2
239200004,Fabricación de bloques para pisos de arcilla cocida,2
239200005,Fabricación de artículos sanitarios de cerámica,2
239299000,Fabricación material de arcilla para la construcción,2
239300001,Fabricación de vajillas y otros artículos de uso doméstico y de aseo,2
239300002,Fabricación de estatuillas y otros artículos ornamentales de cerámica,2
239300003,Fabricación de aisladores eléctricos y accesorios aislantes de cerámica,2
239300004,Fabricación de imanes de cerámica y ferrita,2
239300005,"Fabricación de artículos de cerámica para laboratorios, para la industria química y para la industria en general",2
239300006,Fabricación de tarros y vasijas y artículos similares de cerámica utilizados para transportar o envasar productos,2
239300007,Fabricación de muebles de cerámica,2
239300090,Fabricación de otros productos de cerámica no contemplado en otra actividad asociada,2
239399000,Fabricación de otros productos de cerámica y porcelana,2
239400001,Fabricación de clinca y cementos,2
239400002,Fabricación de cal,2
239400003,Fabricación de yesos con yeso calcinado o sulfato de calcio,2
239400004,Fabricación de dolomita calcinada,2
239499000,"Fabricación de cemento, de la cal y del yeso",2
239500001,"Fabricación de materiales prefabricados de hormigón, cemento o piedra artificial para la construcción como losetas, losas, ladrillos, planchas, láminas, paneles, caños, postes, etc.",2
239500002,"Fabricación de componentes estructurales prefabricados para obras de construcción de ingeniería civil, de cemento, hormigón o piedra artificial",2
239500003,"Fabricación de artículos de yeso para la construcción como planchas, láminas, paneles, etc.",2
239500004,"Fabricación de materiales de construcción de sustancias vegetales como: lana de madera, paja, cañas, juncos, aglomerada con cemento, yeso u otro aglutinante mineral",2
239500005,"Fabricación de artículos de asbesto, cemento, fibra-cemento de celulosa y materiales similares",2
239500006,"Fabricación de otros artículos de hormigón, yeso, cemento o piedra artificial: estatuas, muebles, bajorrelieves y altorrelieves, jarrones, macetas, etc.",2
239500007,Fabricación de morteros en polvo,2
239500008,Fabricación de mezclas preparadas y mezclas secas para hormigón y mortero,2
239500090,"Fabricación de otros artículos de hormigón, de cemento y de yeso, no contemplado en otra actividad asociada",2
239599000,"Fabricación de artículos de hormigón, de cemento y de yeso",2
239600001,"Corte, talla y acabado de la piedra para construcción, cementerios, carreteras, techos, etc.",2
239600002,Fabricación de muebles de piedra,2
239699000,"Corte, tallado y acabado de la piedra",2
239900001,"Fabricación de muelas de molino, piedras de amolar y de pulimentar y productos abrasivos naturales y artificiales, incluidos productos abrasivos sobre una base flexible como: papel de lija",2
239900002,"Fabricación de materiales de fricción y artículos sin montar de esos materiales con una base de sustancias minerales o celulosa (lana de escorias y otras lanas minerales; vermiculita escamada, arcillas dilatadas y material para aislar calor y sonido)",2
239900003,"Fabricación de artículos de diversas sustancias minerales como mica trabajada y artículos de mica, de turba y de grafito (excepto no sean artículos eléctricos), etc.",2
239900004,Fabricación de artículos de asfalto y de materiales similares,2
239900005,Fibras y productos de carbono y grafito (excepto electrodos y aplicaciones eléctricas),2
239999000,Fabricación de otros productos minerales no metálicos no contemplado en otra actividad asociada,2
241000001,"Explotación de altos hornos, convertidores de acero, talleres de laminado y de acabado producción de arrabio y hierro especular en lingotes, bloques y otras formas primarias",2
241000002,Producción de ferroaleaciones,2
241000003,Producción de productos semiacabados de hierro por reducción directa de hierro y otros productos ferrosos esponjosos,2
241000004,Producción de hierro de pureza excepcional por electrólisis o mediante otros procesos químicos,2
241000005,Producción de hierro en granalla y hierro en polvo,2
241000006,Producción de acero en lingotes y otras formas primarias refundición de lingotes de chatarra de hierro o acero,2
241000007,Fabricación de productos semiacabados de acero,2
241000008,Fabricación de productos de acero laminados planos en caliente y en frío,2
241000009,Fabricación de barras y varillas de acero laminadas en caliente,2
241000010,Fabricación de secciones abiertas de acero laminadas en caliente,2
241000011,"Fabricación de barras y secciones sólidas de acero mediante estirado en frío, rectificación o torneado",2
241000012,Fabricación de secciones abiertas mediante conformación progresiva en un laminador de rulos o mediante plegado en una prensa de productos laminados planos de acero,2
241000013,Fabricación de alambre de acero mediante estirado o alargamiento en frío,2
241000014,Fabricación de materiales para vías de ferrocarril (carriles no ensamblados) de acero,2
241000015,"Fabricación de tubos, tuberías y perfiles huecos de acero sin costura, mediante laminación, extrusión o estirado en caliente o estirado o laminación en frío",2
241000016,Fabricación de tubos y caños soldados mediante conformación en frío o en caliente y soldadura,2
241000017,Fabricación de conexiones de brida planas y conexiones de brida con collares de acero de forja,2
241000018,Fabricación de conexiones de soldadura a tope,2
241000019,Fabricación de conexiones roscadas,2
241000020,Fabricación de conexiones con soldadura machihembrada,2
241000090,"Fabricación de otros productos de hierro y acero, no contemplado en otra actividad asociada",2
241099000,Industrias básicas de hierro y acero,2
242000001,"Producción de metales preciosos básicos (sin labrar y labrados: oro, plata, platino, etc., a partir de minerales y residuos; también incluye aleaciones de metales preciosos)",2
242000002,Producción de semiproductos de metales preciosos,2
242000003,Producción de metales comunes enchapados de plata,2
242000004,Producción de metales comunes o plata enchapados de oro,2
242000005,"Producción de oro, plata o metales comunes enchapados de platino y metales del grupo del platino",2
242000006,Producción de aluminio a partir de alúmina,2
242000007,Producción de aluminio a partir de la refinación electrolítica de desechos y chatarra de aluminio,2
242000008,Producción de aleaciones de aluminio,2
242000009,Semielaboración de aluminio,2
242000010,"Producción de plomo, zinc y estaño a partir de minerales",2
242000011,"Producción y semielaboración de aleaciones de plomo, zinc y estaño",2
242000012,Producción de cobre a partir de minerales y mediante la refinación electrolítica de desechos y chatarra de cobre,2
242000013,Producción de aleaciones de cobre,2
242000014,Fabricación de alambre para fusible o lámina fusible,2
242000015,Semielaboración de cobre,2
242000016,"Producción de cromo, manganeso, níquel, etc., a partir de minerales u óxidos y mediante la refinación electrolítica o aluminotérmica de desechos y chatarra de cromo, manganeso, níquel, etc.",2
242000017,"Producción de aleaciones de cromo, manganeso, níquel, etc.",2
242000018,"Semielaboración de cromo, manganeso, níquel, etc.",2
242000019,Producción de matas de níquel,2
242000020,Producción de metal de uranio a partir de pecblenda u otros minerales,2
242000021,Fundición y refinación de uranio,2
242000022,Fabricación de alambre de esos metales mediante trefilado,2
242000023,Producción de óxido de aluminio (alúmina),2
242000024,Producción de papel de aluminio,2
242000025,Fabricación de laminados con hojas de aluminio (estaño) como componente principal,2
242000026,Fabricación de laminados con hojas de metales preciosos,2
242099000,Fabricación de productos primarios de metales preciosos y metales no ferrosos,2
243100001,Fundición de productos semiacabados de hierro,2
243100002,Fundición de hierro gris,2
243100003,Fundición de grafito esferoidal,2
243100004,Fundición de productos de hierro maleable,2
243100005,Fundición de productos semiacabados de acero,2
243100006,Fundición de piezas de acero,2
243100007,"Fabricación de tubos, caños y perfiles huecos y de conexiones de tubos y caños de hierro",2
243100008,Fabricación de tubos y caños de acero sin costura mediante Fundición centrífuga,2
243100009,Fabricación de conexiones de tubos y caños de acero,2
243199000,Fundición de hierro y acero,2
243200001,"Fundición de productos semiacabados de aluminio, magnesio, titanio, zinc, etc.",2
243200002,Fundición de piezas de metal ligero,2
243200003,Fundición de piezas de metal pesado,2
243200004,Fundición de piezas de metales preciosos,2
243200005,Fundición a presión de piezas de metales no ferrosos,2
243299000,Fundición de metales no ferrosos,2
251100001,"Fabricación de marcos o armazones de metal para la construcción y partes de esas estructuras como torres, mástiles, armaduras, puentes, etc.",2
251100002,"Fabricación de marcos industriales de metal como marcos para altos hornos, equipo de elevación y manipulación, etc.",2
251100003,"Fabricación de edificios prefabricados, principalmente de metal (casetas de obra, elementos modulares para exposiciones, etc.)",2
251100004,"Fabricación de puertas y ventanas de metal y sus marcos, postigos y portales",2
251100005,Tabiques de metal para fijar al suelo,2
251199000,Fabricación de productos metálicos para uso estructural,2
251200001,"Fabricación de tanques, depósitos, y recipientes similares de metal como los utilizados para almacenamiento y elaboración",2
251200002,Fabricación de recipientes de metal para gases comprimidos o licuados,2
251200003,Fabricación de calderas y radiadores para calefacción central,2
251299000,"Fabricación de tanques, depósitos y recipientes de metal",2
251300001,"Fabricación de instalaciones auxiliares para generadores de vapor (condensadores, economizadores, recalentadores, recolectores y acumuladores de vapor)",2
251300002,"Fabricación de reactores nucleares, excepto separadores de isótopos",2
251300003,Fabricación de partes para calderas marinas y de potencia,2
251399000,"Fabricación de los generadores del vapor, excepto calderas de agua caliente para calefacción central",2
252000001,"Fabricación de armas pesadas como artillería, cañones móviles, lanzacohetes, tubos, lanzatorpedos, ametralladoras pesadas",2
252000002,Fabricación de armas ligeras,2
252000003,Fabricación de armas ligeras como escopetas y pistolas de aire y gas comprimido,2
252000004,Fabricación de pistolas y escopetas de aire y gas comprimido,2
252000005,Fabricación de munición de guerra,2
252000006,"Fabricación de armas de fuego y munición de caza, de deporte o de protección",2
252000007,"Fabricación de artefactos explosivos, como bombas, minas y torpedos",2
252099000,Fabricación de armas y municiones,2
259100001,"Forja, prensado, estampado y laminado de metales",2
259100002,Pulvimetalurgia: producción de objetos de metal directamente a partir de polvos de metal que se someten a tratamiento calorífico (sinterización) o de compresión,2
259199000,"Forja, prensado, estampado y laminado de metales; pulvimetalurgia",2
259200001,"Enchapado, anodización, etc., de metales",2
259200002,Tratamiento calorífico de metales,2
259200003,"Desbarbado, limpieza con chorro de arena, pulimento en tambor giratorio, limpieza de metales",2
259200004,Coloreado y grabado de metales,2
259200005,"Revestimiento no metálico de metales (plastificado, esmaltado, lacado, etc.)",2
259200006,"Endurecimiento, bruñido de metales",2
259200007,"Taladrado, torneado, fresado, erosión, alisado, lapidado, brochado, aplanado",2
259200008,"Aserrado, esmerilado, afilado, pulido, soldadura, empalme, etcétera, de piezas de metal",2
259200009,Cortado y grabado de metales con rayo láser,2
259200090,"Otro tipo de fabricación, tratamiento y revestimiento de metales, no contemplado en otra actividad asociada",2
259299000,"Fabricación, tratamiento y revestimiento de metales",2
259300001,"Fabricación de cubertería de uso doméstico, como cuchillos, tenedores, cucharas, etc.",2
259300002,Fabricación de otros artículos de cuchillería como destrales y cuchillos,2
259300003,"Fabricación de otros artículos de cuchillería como navajas y maquinillas de afeitar y hojas de afeitar, tijeras comunes",2
259300004,Fabricación de otros artículos de cuchillería como tijeras de peluquero,2
259300005,Fabricación de cuchillas y cizallas para máquinas y para aparatos mecánicos,2
259300006,"Fabricación de herramientas de mano tales como alicates, destornilladores, etc.",2
259300007,Fabricación de herramientas de mano de uso agrícola no motorizadas,2
259300008,"Fabricación de sierras y hojas para sierras, incluidas sierras circulares y de cadena",2
259300009,"Fabricación de accesorios intercambiables para herramientas de mano motorizadas no, y para máquinas herramientas (brocas, punzones, fresas, etc.)",2
259300010,Fabricación de estampas y troqueles de prensa,2
259300011,"Fabricación de herramientas de herrería (machos de forja, yunques, etc.)",2
259300012,Fabricación de moldes y cajas de moldeo (excepto lingoteras),2
259300013,"Fabricación de tornos de banco, abrazaderas",2
259300014,"Fabricación de candados, cerraduras, pasadores, llaves, bisagras y artículos similares, accesorios de ferretería para edificios, muebles, vehículos, etc.",2
259300015,"Fabricación de machetes, espadas, bayonetas, etc.",2
259399000,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",2
259900001,"Fabricación de barriles, latas, tambores, cubos, cajas",2
259900002,"Fabricación de latas para productos alimenticios, tubos y cajas plegables",2
259900003,Fabricación de cierres metálicos,2
259900004,Fabricación de cables y trenzas de metal y artículos similares,2
259900005,Fabricación de cables de metal sin aislamiento o cables con aislamiento que no se pueden utilizar como conductores de electricidad,2
259900006,"Fabricación de artículos de alambre (alambre de púas, cercas de alambre, rejillas, redes, telas metálicas, etc.)",2
259900007,Fabricación de clavos y alfileres,2
259900008,"Fabricación de remaches, arandelas y artículos sin rosca similares",2
259900009,Fabricación de productos de tornillería,2
259900010,"Fabricación de pernos, tornillos, tuercas y artículos con rosca similares",2
259900011,"Fabricación de muelles (excepto muelles para relojes): muelles de ballesta, muelles helicoidales, barras de torsión",2
259900012,Fabricación de muelles (excepto muelles para relojes): ballestas para muelles,2
259900013,"Fabricación de cadenas, excepto cadenas de transmisión de energía",2
259900014,"Fabricación de artículos de metal de uso doméstico como vajilla: platos, etc.",2
259900015,"Fabricación de artículos de metal de uso doméstico como baterías de cocina (cacerolas, recipientes para hervir agua, etc.)",2
259900016,"Fabricación de artículos de metal de uso doméstico como servicio de mesa (boles, bandejas, etc.)",2
259900017,"Fabricación de artículos de metal de uso doméstico como cazos, sartenes y otros utensilios no eléctricos para usar en la mesa o en la cocina",2
259900018,Fabricación de artículos de metal de uso doméstico como pequeños aparatos y accesorios manuales de cocina,2
259900019,Fabricación de desechos de metal,2
259900020,"Fabricación de bañeras, pilas, lavabos y artículos similares",2
259900021,"Fabricación de artículos de metal para oficina, excepto muebles",2
259900022,"Fabricación de cajas de caudales, cajas fuertes, puertas blindadas, etc.",2
259900023,Fabricación de artículos diversos de metal como hélices para embarcaciones y sus palas,2
259900024,Fabricación de artículos diversos de metal como anclas,2
259900025,Fabricación de artículos diversos de metal como campanas,2
259900026,Fabricación de artículos diversos de metal como accesorios para vías de ferrocarril ensamblados,2
259900027,"Fabricación de artículos diversos de metal como cierres, hebillas, corchetes",2
259900028,Fabricación de bolsas de papel de aluminio,2
259900029,Fabricación de imanes metálicos permanentes,2
259900030,Fabricación de termos y otros recipientes herméticos de metal,2
259900031,Fabricación de señales metálicas (no eléctricas),2
259900032,Fabricación de placas de metal e insignias militares de metal,2
259900033,"Fabricación de rulos para el pelo, empuñaduras y bastidores para paraguas y peines de metal",2
259900090,Fabricación de otros productos de metal no contemplado en otra actividad asociada,2
261000001,Fabricación de condensadores electrónicos,2
261000002,Fabricación de resistores electrónicos,2
261000003,Fabricación de microprocesadores,2
261000004,Fabricación de tableros de circuitos impresos y tableros sin imprimir,2
261000005,Fabricación de tubos electrónicos,2
261000006,Fabricación de conectores electrónicos,2
261000007,"Fabricación de circuitos integrados (analógicos, digitales o híbridos)",2
261000008,"Fabricación de diodos, transistores y dispositivos semiconductores similares, como los utilizados como componentes electrónicos",2
261000009,Fabricación de inductores como los utilizados como componentes electrónicos,2
261000010,Fabricación de cristales y juegos de cristales electrónicos,2
261000011,"Fabricación de solenoides, conmutadores y transductores para aplicaciones eléctricas",2
261000012,"Fabricación de plaquetas u obleas de semiconductores, acabados o semiacabados",2
261000013,"Fabricación de tarjetas de interfaz como: tarjetas de sonido, vídeo, control, red, módems, etc.",2
261000014,"Fabricación de componentes para pantallas como: plasma, polímeros, cristal líquido",2
261000015,"Fabricación de diodos emisores de luz, carga de componentes en tableros de circuitos impresos",2
261000016,"Fabricación de cables para impresora, monitor, USB, conectores, etc.",2
261099000,Fabricación de componentes y tableros eléctricos,2
262000001,Fabricación de computadoras de escritorio y portátiles,2
262000002,Fabricación de computadores centrales,2
262000003,Fabricación de computadoras de mano (tal como los asistentes digitales personales),2
262000004,"Fabricación de unidades de disco magnético, unidades USB y otros dispositivos de almacenamiento",2
262000005,"Fabricación de unidades de disco óptico como CD-RW, CD-ROM, DVD-ROM, DVD-RW",2
262000006,Fabricación de impresoras,2
